sector,煤炭开采和洗选业,石油和天然气开采业,黑色金属矿采选业,有色金属矿采选业,非金属矿采选业,开采辅助活动,农副食品加工业,食品制造业,饮料制造业,烟草制品业,纺织业,纺织服装、鞋、帽制造业,皮革、毛皮、羽毛(绒)及其制品业,木材加工及木、竹、藤、棕、草制品业,家具制造业,造纸及纸制品业,印刷业和记录媒介的复制,文教体育用品制造业,石油加工、炼焦及核燃料加工业,化学原料及化学制品制造业,医药制造业,化学纤维制造业,橡胶制品业,塑料制品业,非金属矿物制品业,黑色金属冶炼及压延加工业,有色金属冶炼及压延加工业,金属制品业,通用设备制造业,专用设备制造业,交通运输设备制造业,电气机械及器材制造业,通信设备、计算机及其他电子设备制造业,仪器仪表及文化、办公用机械制造业,工艺品及其他制造业,废弃资源和废旧材料回收加工业,电力、热力的生产和供应业,燃气生产和供应业,水的生产和供应业
K1,煤炭,天然原油,铁矿采选,有色金属,土砂石开采,矿物开采,谷物磨制,焙烤食品制造,酒的制造,烟叶,棉纺织及印染精加工,机织服装,皮革鞣制加工,木材加工,木材,造纸企业废水,印刷和记录媒介复制业,娱乐用品制造,原油加工,化学原料,医药制造,化学纤维,橡胶业,合成树脂,水泥,一般用途碳素结构钢,铜压延加工,金属构件,锅炉,建筑专用设备制造,汽柴油车,新型真空开关管,计算整机,工业用计算机,日用杂品制造,废弃资源综合利用业,电力生产,燃气,自来水生产
K2,开采,天然气,铁矿石,贵金属矿,石灰石,煤炭开采,稻谷加工,糕点,酒精制造,叶片,棉纺纱,运动机织服装,皮革制品,锯材加工,金属,碱回收白泥,印刷,文教,石油制品制造,化学制品,化学药品原料药制造,纤维素,天然橡胶,高分子化合物,石灰,优质碳素结构钢,压延加工,金属构件零件,原动设备,矿山机械制造,整车制造,新能源汽车轮边电机,中央处理器,控制系统,鬃毛加工,废弃资源,火力发电,天然气生产,天然水
K3,洗选,煤矿瓦斯气,采矿活动,稀土,石膏,勘探服务,小麦加工,面包制造,白酒,烟梗,棉织造,针织或钩针编织服装,皮皮制造,木片加工,塑料,废水污泥,报刊印刷,文具,天然原油,基础化学原料,原料药,纤维制造,合成橡胶,塑料制品生产,石膏,冷压延棒,稀土金属压延加工,建筑用钢制品,制造,机械设备,传统燃料动力,发电机,外围设备,检测仪表,清扫工具制造,废旧材料,燃煤发电,燃气供应,地下水
K4,生产活动,天然气液化,选矿活动,开采活动,石灰石助熔剂,矿石样本,玉米加工,米粉,啤酒,把烟,棉印染,运动休闲针织服装,皮手套,单板加工,竹,脱墨污泥,图书,笔,人造原油,无机酸,抗菌素,化纤浆粕制造,橡胶生产,挤塑,水泥,电工用非合金钢,有色金属压延加工,活动,辅助设备,建井设备,非轨道,发电机组,硬件与软件,执行机构,刷子,回收加工,燃气发电,天然气供应,地表水
K5,煤制品,天然气田,磁铁矿,选矿活动,建筑装饰用石,地质观察,杂粮加工,小麦粉,黄酒,卷烟制造,毛纺织,服饰制造,毛皮鞣制,其他木材加工,藤,纸浆制造,报纸,教学用模型,汽油,无机碱,消化系统用药,指纺织生产用粘胶纤维,废橡胶再生,注塑,水泥熟料,铸造碳素钢,铜材,金属结构,蒸汽锅炉,采掘设备,无架线,交流发电机,计算机系统,制造活动,牙刷,金属废料,燃油发电,石油气供应,生活饮用水
K6,煤炭勘探活动,液化烃,赤铁矿,深海有色金属矿,纪念碑,煤矿排水,饲料加工,豆粉,葡萄酒,烤烟型卷烟,毛纱线,纺织面料鞋,毛皮服装,人造板制造,家具制造,木竹浆制造,期刊,墨水,煤油,无机盐,解热镇痛药,化纤棉绒浆粕,轮胎制造,吹塑,水泥磨,易切削非合金结构钢,铝材,金属门窗,核反应堆,凿岩设备,车辆制造,直流发电机,计算机工作站,温度测量仪表,化妆用刷,碎屑加工处理,燃气蒸汽联合发电,煤气生产,用户供应
K7,企业废气综合利用,沥青,褐铁矿,铜矿采选,天然大理石荒料,泵吸活动,植物油加工,烤制,酿酒企业,混合型卷烟,毛织造,皮鞋,羽毛,胶合板制造,家具制造活动,木浆,地图,乐器,柴油,有机化学原料,维生素类,化纤木浆粕,轮胎类型,压延,石灰和石膏,特殊碳素结构钢,金加工材,切削工具,内燃机,提升设备,乘用车,电磁式直流发电机,微型计算机设备,压力测量仪表,家用刷,固体废料,余热余气发电,煤制合成气,自来水生产
K8,煤矸石综合利用,页岩,菱铁矿,铜原矿,天然花岗石荒料,煤矿试井,制糖,饼干,酒糟,雪茄烟,毛染整精加工,塑料鞋,羽绒,纤维板制造,床,机械木浆,其他出版物的印刷,中乐器,润滑油,肥料,抗寄生虫病药,其他化学纤维用浆粕,轮胎外胎,层压,水泥,航空专用非合金结构钢,银材,切削工具,风能原动设备,矿物破碎设备,多功能乘用车,永磁式直流发电机,服务器,流量测量仪表,漆刷,废水,电力企业废气综合利用,焦炉煤气,自来水供应
K9,粉煤灰综合利用,油母页岩,黑色金属,铜精矿,石英岩,试钻,牲畜屠宰,膨化食品,玉米发酵,全叶卷雪茄烟,麻纺织,橡胶鞋,制鞋,刨花板制造,桌,化学木浆,本册印制,西乐器,燃料油,氮肥,中枢神经系统用药,人造纤维,乘用车轮胎,废旧塑料回收,砖瓦,核能用非合金钢,铂加工材,手工工具,水轮机,矿物粉磨设备,运动型多用途乘用车,水轮发电机组,计算机零部件,物位测量仪表,金属丝刷,废气,热电联产,高炉煤气,自来水蓄积
K10,矿井水综合利用,焦油沙,铁矿石原矿,铜块矿,砂岩,石油开采,禽类屠宰,薯片,薯类发酵,半叶卷雪茄烟,麻纤维纺,毛皮手套,水貂皮,其他人造板制造,椅,竹浆,用于书写本册,电子乐器,石脑油,磷肥,计划生育用药,化学加工生产纤维,载货汽车轮胎,塑料薄膜,建筑材料,碳素弹簧钢,钯材,农用金属工具,金属加工机械,矿物筛分设备,交叉型乘用车,汽轮发电机组,终端显示设备,液位测量仪表,清洁清扫类工具,原材料,热电厂,油制气,供水管网漏损控制
